PrawnID,GAV,Age,Class,FamID,IntFamID
G1T1701_149_001_B6_G,2.52,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_A7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_BR_001_P,0.65,broodstock,Father,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_BR_048_P,2.16,broodstock,Mother,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_081_PL,8.24,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_080_PL,7.79,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_077_PL,8.52,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_073_PL,8.13,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_072_PL,7.98,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_070_PL,7.58,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_061_PL,7.88,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_046_PL,8.36,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_036_PL,8.06,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_034_PL,7.31,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_032_PL,7.89,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_020_PL,8.12,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_017_PL,7.84,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_011_PL,8.64,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_RD2_009_PL,7.25,Larval,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
